price,brand,mile,old,engine,gear,seat,province,colour,fuel,post
299000.0,"Nissan,Teana",182500.0,10,1997,A,5,กรุงเทพและปริมณฑล,ขาว,Petrol,0
89000.0,"BMW,318i",127500.0,24,1796,A,5,กรุงเทพและปริมณฑล,ฟ้า,Petrol,1
599000.0,"Toyota,Hiace",182500.0,6,3000,M,12,กรุงเทพและปริมณฑล,เงิน,Diesel,0
299000.0,"Honda,Civic",172500.0,11,1799,A,5,กรุงเทพและปริมณฑล,ดำ,Petrol,0
199000.0,"Toyota,Vios",217500.0,13,1497,A,5,กรุงเทพและปริมณฑล,เทา,Petrol,0
2470000.0,"Mercedes-Benz,E350",27078.0,2,1991,A,5,กรุงเทพและปริมณฑล,ขาว,Petrol,0
649000.0,"Honda,Accord",100.0,6,2356,A,5,กรุงเทพและปริมณฑล,ดำ,Petrol,0
1638000.0,"BMW,X3",62500.0,4,1995,A,5,กรุงเทพและปริมณฑล,ขาว,Diesel,0
479000.0,"Toyota,Camry",147500.0,7,1998,A,5,กรุงเทพและปริมณฑล,เงิน,Petrol,0
559000.0,"Honda,CR-V",100.0,7,1997,A,5,กรุงเทพและปริมณฑล,ดำ,Petrol,0
738000.0,"Mazda,3",22500.0,1,1998,A,5,กรุงเทพและปริมณฑล,ดำ,Petrol,0
1290000.0,"Toyota,Alphard",124249.0,7,2362,A,7,กรุงเทพและปริมณฑล,ขาว,Petrol,0
778000.0,"Mazda,3",22500.0,1,1998,A,5,กรุงเทพและปริมณฑล,ขาว,Petrol,0
539000.0,"Toyota,Hiace",152500.0,8,2500,M,12,กรุงเทพและปริมณฑล,เงิน,Diesel,0
498000.0,"Chevrolet,Trailblazer",42500.0,5,2776,A,7,กรุงเทพและปริมณฑล,ขาว,Diesel,0
599000.0,"Toyota,Hiace",100.0,6,3000,M,12,กรุงเทพและปริมณฑล,เงิน,Diesel,0
998000.0,"Mercedes-Benz,C180",62500.0,8,1800,A,5,กรุงเทพและปริมณฑล,ขาว,Petrol,0
569000.0,"BMW,520d",100.0,11,1995,A,5,กรุงเทพและปริมณฑล,ดำ,Diesel,0
759000.0,"Honda,Civic",89238.0,4,1498,A,5,กรุงเทพและปริมณฑล,เทา,Petrol,0
588000.0,"Mazda,3",72500.0,3,1998,A,5,กรุงเทพและปริมณฑล,น้ำตาล,Petrol,0
1290000.0,"Mercedes-Benz,E200",74320.0,3,1991,A,5,กรุงเทพและปริมณฑล,ขาว,Petrol,0
350000.0,"Toyota,Camry",172500.0,13,2362,A,5,กรุงเทพและปริมณฑล,เงิน,Petrol,0
779000.0,"Mercedes-Benz,E200",100.0,10,1796,A,5,กรุงเทพและปริมณฑล,ดำ,Petrol,0
449000.0,"Toyota,Hilux",26869.0,4,2393,M,2,กรุงเทพและปริมณฑล,ขาว,Diesel,0
459000.0,"Toyota,Hilux",2500.0,4,2393,M,5,กรุงเทพและปริมณฑล,ขาว,Diesel,0
559000.0,"Toyota,Camry",257500.0,5,1998,A,5,กรุงเทพและปริมณฑล,เงิน,Petrol,0
749000.0,"Ford,Everest",97500.0,5,2198,A,7,กรุงเทพและปริมณฑล,แดง,Diesel,0
997000.0,"BMW,320d",87500.0,6,1995,A,5,กรุงเทพและปริมณฑล,แดง,Diesel,0
1229000.0,"Mercedes-Benz,CLA250",98000.0,4,1991,A,5,กรุงเทพและปริมณฑล,เงิน,Petrol,0
684000.0,"Honda,Civic",92500.0,2,1799,A,5,กรุงเทพและปริมณฑล,ขาว,Petrol,0
359000.0,"Mazda,2",22500.0,5,1499,A,5,กรุงเทพและปริมณฑล,เทา,Diesel,0
